P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,STIMULI,POOL,SCORE
s037,3,C,a,,,,L3,L3,L3,L3,L3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2492.7388888888895
s038,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s039,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s040,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s041,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s042,2,R,a,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2534.517259037259
s043,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s044,3,C,a,,,,L3,L3,L3,L3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2492.7388888888895
s045,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s046,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s047,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s048,2,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2524.84303992304
s049,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s050,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s051,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s052,2,C,a,,,,L,L,L,L,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.8433140933143
s053,3,R,f,,,,,,,L3,L3,R3,R3,R3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2529.211111111111
s054,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
s055,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s056,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s057,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s058,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s059,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s060,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s061,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s062,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s063,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s064,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s065,2,C,a,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.8433140933143
s066,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2486.2666666666673
s067,2,L,b,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2519.055407185407
s068,2,L,a,L,L,L,L,L,L,L,X,X,,,,,,,L,L,R,R,simulated,simulated,2534.517259037259
s069,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s070,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s071,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s072,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,simulated,simulated,2470.6035594035598
s073,3,L,b,L3,L3,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2529.2111111111117
s074,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s075,3,R,a,,,,,,,X1,X1,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2541.5666666666666
s076,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
s077,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s078,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2486.2666666666673
s079,2,C,a,,,,L,L,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.6774556924556
s080,3,L,b,L3,L3,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2529.2111111111117
s081,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R2,L1,L1,R1,R1,simulated,simulated,2562.6833333333334
s082,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,simulated,simulated,2470.6035594035598
s083,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s084,3,L,a,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s085,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s086,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s087,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s088,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s089,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s090,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s091,3,C,a,,,,L3,L3,L3,L3,L3,L3,L3,L3,R3,,,,L1,L1,R1,R1,simulated,simulated,2494.8500000000004
s092,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s093,2,C,a,,,,L,L,L,X,X,X,X,X,R,,,,L,L,R,R,simulated,simulated,2481.292380952381
s094,2,L,b,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2519.055407185407
s095,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2486.2666666666673
s096,2,R,a,,,,,,,R,X,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2535.8302871202873
s097,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s098,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s099,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s100,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s101,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s102,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s103,3,L,a,L2,L2,L2,L3,L3,L3,L3,L3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2543.3444444444444
s104,2,L,a,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,simulated,simulated,2535.4665569615568
s105,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s106,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s107,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s108,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s109,2,L,b,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2519.055407185407
s110,3,R,f,,,,,,,L3,L3,L3,L3,L3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2485.5888888888894
s111,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.3723328523324
s112,3,C,a,,,,L3,L3,L3,L3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2492.7388888888895
s113,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s114,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s115,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s116,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s117,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s118,2,R,a,,,,,,,X,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2542.213620453621
s119,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s120,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s121,3,L,b,L3,L3,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2529.2111111111117
s122,2,R,f,,,,,,,L,L,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2519.0554071854067
s123,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s124,3,L,a,L2,L2,L2,L2,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2559.766666666667
s125,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s126,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s127,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s128,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s129,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s130,3,C,a,,,,L3,L3,L3,L3,L3,L3,L3,L3,R3,,,,L1,L1,R1,R1,simulated,simulated,2494.8500000000004
s131,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s132,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s133,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s134,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s135,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s136,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s137,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s138,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s139,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s140,2,C,a,,,,L,L,L,L,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.8433140933143
s141,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s142,3,R,f,,,,,,,L3,L3,R3,R3,R3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2529.211111111111
s143,2,L,b,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2519.055407185407
s144,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,simulated,simulated,2470.6035594035598
s145,3,L,b,L3,L3,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2529.2111111111117
s146,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s147,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s148,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s149,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s150,2,L,a,L,L,L,L,L,L,L,X,X,,,,,,,L,L,R,R,simulated,simulated,2534.517259037259
s151,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s152,3,L,a,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.6833333333334
s153,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s154,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s155,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s156,2,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,simulated,simulated,2470.6035594035598
s157,3,L,b,L3,L3,L3,L3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2485.5888888888894
s158,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s159,3,R,a,,,,,,,L3,L3,R3,R3,R3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2529.211111111111
s160,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s161,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s162,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s163,3,L,a,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.6833333333334
s164,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s165,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s166,2,R,a,,,,,,,X,X,X,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2529.0378495578498
s167,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s168,2,C,a,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.8433140933143
s169,3,R,f,,,,,,,L3,L3,R3,R3,R3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2529.211111111111
s170,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s171,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
s172,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s173,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s174,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s175,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s176,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s177,3,L,a,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s178,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s179,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,simulated,simulated,2497.7388888888886
s180,3,C,a,,,,L3,L3,L3,L3,L3,L3,L3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2493.4611111111117
s181,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s182,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s183,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s184,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s185,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s186,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s187,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s188,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R2,L1,L1,R1,R1,simulated,simulated,2562.6833333333334
s189,2,R,f,,,,,,,L,L,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2519.0554071854067
s190,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s191,3,L,b,L3,L3,L3,L3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2485.5888888888894
s192,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s193,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,simulated,simulated,2477.9032017057016
s194,2,L,a,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,simulated,simulated,2535.4665569615568
s195,3,C,m,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,simulated,simulated,2508.0888888888894
s196,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s197,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2558.988888888889
s198,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s199,3,C,a,,,,L3,L3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2493.461111111111
s200,2,C,a,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.8433140933143
s201,2,L,b,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2519.055407185407
s202,3,R,f,,,,,,,L3,L3,R3,R3,R3,R3,R3,R3,R3,L1,L1,R1,R1,simulated,simulated,2529.211111111111
s203,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s204,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2497.738888888889
s205,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,simulated,simulated,2562.811111111111
s206,2,R,a,,,,,,,X,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2542.213620453621
s207,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s208,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s209,3,L,b,L2,L2,L2,L2,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2486.266666666667
s210,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2561.6222222222223
s211,2,R,f,,,,,,,L,L,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2519.0554071854067
s212,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2486.2666666666673
s213,2,C,a,,,,L,L,L,L,L,L,L,L,R,,,,L,L,R,R,simulated,simulated,2477.2607294557297
s214,2,L,b,L,L,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2470.6035594035598
