P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,STIMULI,POOL,SCORE
s028,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R1,L1,L2,R1,R2,simulated,simulated,2547.5555555555557
s029,2,C,m,,,,L,R,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2458.000317460318
s030,2,R,f,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,simulated,simulated,2517.6903968253973
s031,3,L,b,L2,L3,L2,L3,X1,X1,R3,R3,R2,,,,,,,L1,L3,R1,R1,simulated,simulated,2478.7388888888895
s032,2,R,m,,,,,,,L,L,R,L,R,R,R,R,R,L,L,R,R,simulated,simulated,2491.6430082880083
s033,3,L,a,L2,L2,L2,R1,L3,L3,L3,L3,L3,,,,,,,L1,R1,R1,R2,simulated,simulated,2394.3133333333335
s034,3,C,f,,,,L1,L3,L3,L3,L3,L3,L1,L3,R3,,,,L2,L2,R3,R1,simulated,simulated,2449.288888888889
s035,2,C,b,,,,L,L,R,L,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2466.8889995189998
s036,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,R,L,R,R,simulated,simulated,2458.051205461205
s037,3,C,a,,,,L2,L2,R3,R3,R3,R3,R3,R3,R3,,,,L2,L2,R1,R1,simulated,simulated,2486.2055555555557
s038,3,L,f,L2,R1,L3,X1,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2451.6677777777777
s039,2,R,b,,,,,,,X,X,X,X,X,R,L,R,R,L,L,R,R,simulated,simulated,2466.0155555555557
s040,3,C,b,,,,L3,L3,L3,L3,R3,R3,R3,R1,L3,,,,L1,L1,R1,R1,simulated,simulated,2443.378888888889
s041,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,L3,L2,R1,L1,simulated,simulated,2455.855555555556
s042,2,R,a,,,,,,,X,X,X,X,X,R,R,R,R,X,L,R,R,simulated,simulated,2467.682972582973
s043,2,L,f,L,L,R,L,L,X,L,L,X,,,,,,,L,L,R,R,simulated,simulated,2457.6847563547562
s044,3,C,a,,,,L3,L3,L1,X1,R3,R3,R3,R3,R3,,,,L1,L1,R1,L1,simulated,simulated,2364.8500000000004
s045,2,L,m,L,R,L,X,L,L,L,L,X,,,,,,,R,L,R,R,simulated,simulated,2353.8870899470903
s046,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s047,3,L,f,L3,L3,L1,L3,L2,L3,L3,L3,L3,,,,,,,L1,L1,R3,R1,simulated,simulated,2538.1844444444446
s048,2,L,a,L,X,L,X,X,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2505.697513227514
s049,2,C,f,,,,L,L,L,L,L,X,L,X,X,,,,L,L,R,R,simulated,simulated,2466.2439995189998
s050,3,C,m,,,,L3,L3,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,simulated,simulated,2483.764603174603
s051,3,R,b,,,,,,,R3,R3,R3,R3,R3,R2,R3,R3,R3,L1,L1,R2,R1,simulated,simulated,2546.3903174603174
s052,2,C,a,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,simulated,simulated,2499.0529365079365
s053,3,R,f,,,,,,,L3,L2,R2,R3,R3,R2,R2,R2,R2,R3,L1,R1,R1,simulated,simulated,2419.3500000000004
s054,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,X,simulated,simulated,2452.301957671958
s055,3,L,m,L2,L1,L3,L3,X1,L3,L1,L2,L3,,,,,,,R1,L1,R1,R2,simulated,simulated,2395.991111111111
s056,2,R,a,,,,,,,X,X,X,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2529.0378495578498
s057,3,C,b,,,,L3,R3,X1,R3,R3,R3,R3,R3,R3,,,,L1,L3,R1,R1,simulated,simulated,2478.011111111111
s058,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s059,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R2,R2,R2,L1,L1,R1,R1,simulated,simulated,2561.6222222222223
s060,3,C,m,,,,X1,R2,X1,X1,X1,X1,X1,X1,X1,,,,L1,L3,R1,R1,simulated,simulated,2461.927777777778
s061,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R3,L3,L1,L1,R1,R1,simulated,simulated,2473.8949206349207
s062,2,L,a,L,L,L,L,R,L,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2475.4997354497355
s063,2,C,f,,,,L,X,X,X,X,R,X,X,R,,,,L,X,R,R,simulated,simulated,2423.2556878306877
s064,3,L,m,L3,L3,L3,L3,L3,L3,L3,L3,X1,,,,,,,L1,L1,R1,X1,simulated,simulated,2510.4222222222224
s065,2,C,a,,,,X,L,L,L,L,L,L,R,R,,,,L,L,R,R,simulated,simulated,2447.0388801938802
s066,3,R,f,,,,,,,L3,L3,L3,L3,L3,L3,R3,R3,R2,L1,L1,R1,L1,simulated,simulated,2361.3733333333334
s067,2,L,b,L,X,L,L,R,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2447.097941317941
s068,2,L,a,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,simulated,simulated,2542.2136204536205
s069,3,C,m,,,,L3,L2,L1,R3,R3,R3,R2,R2,R2,,,,L2,L1,R1,R1,simulated,simulated,2468.591111111111
s070,2,C,f,,,,L,R,R,L,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2456.277351537351
s071,3,R,b,,,,,,,X1,L1,R2,R3,R2,X1,R3,R2,R2,L1,L1,R1,R1,simulated,simulated,2487.702222222222
s072,2,R,f,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,simulated,simulated,2513.9808465608467
s073,3,L,b,L3,L3,L3,L3,L3,L3,X1,X1,R2,,,,,,,L1,L1,R1,R1,simulated,simulated,2523.016666666667
s074,2,C,m,,,,X,X,X,X,X,X,X,L,X,,,,L,L,R,R,simulated,simulated,2461.6029365079366
s075,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R2,L3,L1,L1,R1,simulated,simulated,2455.3999999999996
s076,2,L,b,X,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2481.25026991527
s077,3,L,m,R2,L1,L2,L1,L3,L3,L3,R2,L3,,,,,,,L1,L1,R2,R1,simulated,simulated,2434.8322222222223
s078,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,R2,R3,R2,L2,L1,R1,R2,simulated,simulated,2513.377777777778
s079,2,C,a,,,,L,L,L,L,L,R,X,R,R,,,,L,L,R,L,simulated,simulated,2374.549184704185
s080,3,L,b,R3,L2,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,simulated,simulated,2454.1222222222223
s081,3,R,a,,,,,,,R3,R3,R3,R3,R3,R3,R3,R1,R3,L1,L1,R1,R1,simulated,simulated,2552.3344444444447
s082,2,R,f,,,,,,,X,X,X,R,R,R,R,X,R,R,L,R,R,simulated,simulated,2389.8261249861253
s083,2,C,m,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,simulated,simulated,2477.1562578162584
s084,3,L,a,L2,L2,L2,L2,X1,L2,L2,R1,R2,,,,,,,L2,L1,R1,R1,simulated,simulated,2485.318068783069
s085,3,C,f,,,,L2,L2,L2,R2,L2,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2469.09
s086,2,R,m,,,,,,,L,L,R,R,X,R,R,R,R,L,L,R,R,simulated,simulated,2496.4973221223217
s087,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,X,R,R,R,simulated,simulated,2377.707119291384
s088,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s089,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,X,L,R,R,simulated,simulated,2516.297262089762
s090,3,L,f,L3,L3,R3,L3,L2,L3,L3,L3,L3,,,,,,,X1,L1,R2,R2,simulated,simulated,2436.188888888889
s091,3,C,a,,,,L2,L2,L3,L2,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2486.574444444445
s092,3,L,m,L2,L2,L1,L3,L2,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2545.528888888889
s093,2,C,a,,,,L,L,R,L,L,X,X,X,R,,,,L,L,R,R,simulated,simulated,2437.889672919673
s094,2,L,b,L,L,L,R,L,R,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2459.020226070226
s095,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,R2,L1,L2,R1,R3,simulated,simulated,2477.3333333333335
s096,2,R,a,,,,,,,R,R,R,R,R,R,L,R,R,L,L,R,R,simulated,simulated,2484.2588211788216
s097,2,L,f,L,L,L,L,X,L,L,R,L,,,,,,,L,L,X,R,simulated,simulated,2454.4755725755726
s098,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,L1,L2,R2,R1,simulated,simulated,2554.677777777778
s099,3,C,b,,,,L3,R3,R3,R1,R3,R3,R3,R1,R3,,,,L3,L1,R1,R1,simulated,simulated,2454.3222222222225
s100,2,C,b,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2478.3723328523324
s101,3,C,f,,,,L2,L3,L3,X1,L3,L3,X1,X1,X1,,,,L3,L1,R1,L3,simulated,simulated,2349.243333333334
s102,2,R,m,,,,,,,R,R,R,R,R,X,R,R,R,L,L,R,R,simulated,simulated,2517.763490953491
s103,3,L,a,L2,R1,R3,L3,L3,L3,L3,L3,L2,,,,,,,L1,L1,R2,R1,simulated,simulated,2412.7055555555557
s104,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,X,simulated,simulated,2516.2972620897617
s105,2,C,f,,,,L,L,L,L,L,L,L,L,R,,,,L,L,R,R,simulated,simulated,2477.2607294557297
s106,3,R,b,,,,,,,R2,L1,R2,R3,R2,R3,R3,R2,R3,L3,R2,R1,R1,simulated,simulated,2395.7657142857142
s107,3,C,m,,,,L3,L3,L3,L3,X1,X1,X1,X1,X1,,,,L1,R3,R1,R2,simulated,simulated,2387.022222222222
s108,3,L,m,L2,L2,L2,L2,L3,L2,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2554.177777777778
s109,2,L,b,L,L,L,L,L,X,L,X,X,,,,,,,L,X,X,R,simulated,simulated,2419.250586820587
s110,3,R,f,,,,,,,L3,R1,R3,R3,R2,R3,R2,R3,R3,L1,L1,R1,R3,simulated,simulated,2502.535555555556
s111,2,C,a,,,,X,X,X,X,X,R,X,R,R,,,,L,L,R,R,simulated,simulated,2478.8505555555557
s112,3,C,a,,,,L1,L1,L1,L1,X1,R2,R2,R2,R2,,,,L1,L1,R1,R1,simulated,simulated,2465.656428571429
s113,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2553.2817065342065
s114,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s115,3,L,f,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R2,R1,simulated,simulated,2561.355555555556
s116,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R1,R2,L3,L2,R1,R1,simulated,simulated,2544.354761904762
s117,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s118,2,R,a,,,,,,,L,X,X,X,R,R,R,R,R,L,L,R,X,simulated,simulated,2462.1274747474745
s119,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,,,,L2,L3,R1,R1,simulated,simulated,2490.194444444445
s120,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s121,3,L,b,L2,L2,L2,L2,L2,L3,L2,L2,L2,,,,,,,L1,L1,R2,R3,simulated,simulated,2548.197830687831
s122,2,R,f,,,,,,,X,X,R,X,R,R,R,R,L,L,L,R,R,simulated,simulated,2445.705937950938
s123,3,R,a,,,,,,,R3,L2,R3,R3,R3,R3,R3,R2,R2,R1,L1,R2,R1,simulated,simulated,2402.7833333333338
s124,3,L,a,L2,L1,L1,L2,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,simulated,simulated,2542.403333333333
s125,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,simulated,simulated,2477.903201705702
s126,3,C,f,,,,L3,L2,L3,L3,L3,R3,L3,L3,R3,,,,L1,L1,R3,R1,simulated,simulated,2459.3144444444442
s127,2,R,m,,,,,,,R,R,R,L,R,R,R,R,R,L,L,R,R,simulated,simulated,2505.802807007807
s128,2,L,m,X,L,L,L,L,L,L,L,L,,,,,,,L,L,X,X,simulated,simulated,2434.771677951678
s129,2,R,b,,,,,,,X,R,R,R,R,R,R,X,R,R,L,R,X,simulated,simulated,2359.4519900469904
s130,3,C,a,,,,L2,L2,L2,L3,L3,X1,R3,R3,R3,,,,L1,R3,R1,R1,simulated,simulated,2380.9133333333334
s131,3,L,f,L1,L3,L3,L3,X1,L3,R1,X1,X1,,,,,,,L1,L1,R1,R1,simulated,simulated,2488.3022222222226
s132,3,C,m,,,,L2,L2,L3,L2,L2,L2,L3,L3,R2,,,,L1,R2,R1,R1,simulated,simulated,2372.244603174603
s133,3,R,b,,,,,,,R1,R1,R1,R1,R1,R1,R1,R1,R2,R3,L3,R1,R3,simulated,simulated,2418.4340572390574
s134,2,L,a,L,L,L,X,L,L,L,X,R,,,,,,,L,L,R,R,simulated,simulated,2498.7478786028787
s135,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,R,R,R,simulated,simulated,2384.746901061901
s136,2,R,a,,,,,,,X,X,L,R,R,R,R,R,R,R,R,R,R,simulated,simulated,2324.1021622821627
s137,3,C,b,,,,R1,R3,R3,R3,R3,R3,R3,R3,R3,,,,L3,L2,R1,R1,simulated,simulated,2465.7844444444445
s138,3,R,m,,,,,,,R2,L1,R2,R2,L1,R2,R2,R2,R2,L1,L3,R1,R1,simulated,simulated,2472.4063492063497
s139,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s140,2,C,a,,,,L,L,X,L,X,R,R,R,R,,,,L,L,R,R,simulated,simulated,2467.3487229437233
s141,3,L,m,L2,L2,R2,L3,L3,L3,L3,L3,L3,,,,,,,L3,L1,R1,R1,simulated,simulated,2473.1333333333337
s142,3,R,f,,,,,,,X1,X1,X1,X1,X1,X1,R3,R2,R2,L1,L1,R2,R1,simulated,simulated,2516.9222222222224
s143,2,L,b,L,R,X,L,L,L,L,L,L,,,,,,,L,R,R,R,simulated,simulated,2358.0391532541535
s144,2,R,f,,,,,,,L,L,R,R,R,R,R,R,L,L,L,R,R,simulated,simulated,2449.76728049728
s145,3,L,b,L2,L1,L3,L3,X1,X1,X1,R3,R3,,,,,,,R1,L1,R1,R2,simulated,simulated,2381.1277777777777
s146,3,R,a,,,,,,,R3,R3,R3,R3,R2,R3,L3,R1,R2,L1,L1,L2,R1,simulated,simulated,2388.1555555555556
s147,2,C,m,,,,X,X,X,X,X,R,R,X,R,,,,L,L,R,R,simulated,simulated,2471.6219576719577
s148,3,C,m,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R2,R1,simulated,simulated,2496.2833333333333
s149,3,R,b,,,,,,,R3,R3,R3,L2,R3,R1,R3,R2,R3,L1,L1,R1,L2,simulated,simulated,2402.7577777777774
s150,2,L,a,L,L,L,L,L,R,L,R,R,,,,,,,L,L,R,R,simulated,simulated,2491.6430082880083
s151,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,L,simulated,simulated,2399.862674846939
s152,3,L,a,L2,L1,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R2,L1,simulated,simulated,2424.908888888889
s153,2,R,m,,,,,,,R,X,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2535.8302871202873
s154,3,C,f,,,,L3,L3,L3,L3,R3,R1,L3,R2,R2,,,,L1,L1,R1,R3,simulated,simulated,2450.2333333333336
s155,2,C,b,,,,X,X,X,X,X,X,R,R,R,,,,L,L,R,R,simulated,simulated,2487.067222222222
s156,2,R,f,,,,,,,L,X,X,X,X,X,R,R,R,L,L,R,R,simulated,simulated,2500.915555555556
s157,3,L,b,L2,L3,L3,L3,R3,R3,R3,R3,R3,,,,,,,L1,L1,R1,R1,simulated,simulated,2485.0888888888894
s158,2,C,m,,,,L,L,L,X,X,X,L,X,X,,,,L,L,R,R,simulated,simulated,2461.003722943723
s159,3,R,a,,,,,,,R3,R3,R3,L2,R1,R3,R3,R2,R2,L3,R1,R1,R1,simulated,simulated,2376.9022222222225
s160,2,C,b,,,,X,X,X,R,R,R,R,R,R,,,,L,L,R,L,simulated,simulated,2375.6697474747475
s161,2,R,m,,,,,,,X,X,R,R,R,X,X,R,R,L,L,R,R,simulated,simulated,2487.065772005772
s162,3,C,f,,,,L2,L1,L2,L3,L2,X1,L3,X1,X1,,,,L1,L1,R2,R2,simulated,simulated,2451.4844444444443
s163,3,L,a,L3,L3,L3,L3,R2,L3,L3,L3,R2,,,,,,,L1,R1,R2,R3,simulated,simulated,2383.722222222222
s164,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,simulated,simulated,2553.2817065342065
s165,3,C,b,,,,R2,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L2,R1,R1,simulated,simulated,2477.572222222222
s166,2,R,a,,,,,,,X,R,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2542.213620453621
s167,3,R,m,,,,,,,R3,R3,L2,R3,R3,R3,R2,R3,L2,L2,L1,R1,R1,simulated,simulated,2439.7188888888886
s168,2,C,a,,,,L,L,L,L,R,R,R,R,R,,,,X,L,R,L,simulated,simulated,2344.0303607503606
s169,3,R,f,,,,,,,R2,L3,L1,R2,R2,R2,R2,R2,R2,L2,L2,R1,R1,simulated,simulated,2494.666666666667
s170,3,L,m,L2,L2,L3,L3,L2,L3,X1,L3,L3,,,,,,,L1,L1,X1,R2,simulated,simulated,2489.4333333333334
s171,2,L,b,L,L,L,L,L,L,L,R,R,,,,,,,X,L,R,L,simulated,simulated,2375.7149050949056
s172,2,L,a,L,L,L,L,L,L,L,X,R,,,,,,,L,L,R,R,simulated,simulated,2524.686862211862
s173,2,C,f,,,,L,L,L,L,L,L,L,L,X,,,,L,L,R,R,simulated,simulated,2473.007792947793
s174,3,R,b,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R2,L1,L1,R1,R1,simulated,simulated,2562.6833333333334
s175,3,C,m,,,,X1,L3,L3,L3,L1,L3,L3,L3,L1,,,,L1,L1,R3,R1,simulated,simulated,2412.0833333333335
s176,2,R,m,,,,,,,R,R,R,R,R,R,X,R,R,L,L,R,X,simulated,simulated,2470.8110626410626
s177,3,L,a,L2,R3,L3,L2,R2,L2,X1,X1,L1,,,,,,,L3,L3,R2,R1,simulated,simulated,2392.106666666667
s178,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,X,X,L,simulated,simulated,2307.66623062123
s179,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R3,R1,simulated,simulated,2496.272222222222
s180,3,C,a,,,,L3,L3,X1,L1,R3,R3,R1,R3,R3,,,,L1,L2,R1,R1,simulated,simulated,2456.3844444444444
s181,2,L,m,L,L,L,L,L,X,L,L,L,,,,,,,L,X,R,R,simulated,simulated,2476.8385906685908
s182,2,R,b,,,,,,,R,L,R,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2524.4832236282236
s183,3,L,f,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,R1,L1,R1,R2,simulated,simulated,2457.0333333333333
s184,2,R,a,,,,,,,L,L,L,R,R,L,R,R,R,L,L,R,R,simulated,simulated,2465.126188071188
s185,2,L,f,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,simulated,simulated,2535.4665569615568
s186,3,R,m,,,,,,,X1,X1,X1,R3,L3,L1,R2,R2,R2,L1,L1,R1,R2,simulated,simulated,2434.9011111111113
s187,3,C,b,,,,L2,R3,R3,R3,R2,R3,R3,R3,R3,,,,L1,L1,R1,R1,simulated,simulated,2480.7244444444445
s188,3,R,a,,,,,,,R3,X1,R3,R3,R3,R3,R2,R1,R2,X1,L3,R1,R1,simulated,simulated,2492.0566666666664
s189,2,R,f,,,,,,,L,X,X,R,R,R,R,R,R,L,L,R,R,simulated,simulated,2516.7241193991194
s190,2,C,m,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,simulated,simulated,2477.1562578162584
s191,3,L,b,L2,L3,L2,L3,L1,L3,L3,L3,L1,,,,,,,L1,L1,R3,R3,simulated,simulated,2520.8633333333337
s192,3,R,b,,,,,,,X1,X1,X1,X1,X1,X1,X1,R3,L3,L2,L2,R1,R1,simulated,simulated,2450.2777777777774
s193,2,C,f,,,,L,R,L,L,L,L,L,L,L,,,,L,L,R,L,simulated,simulated,2344.6038588263586
s194,2,L,a,R,L,L,R,X,X,X,X,X,,,,,,,L,R,X,R,simulated,simulated,2281.5910582010583
s195,3,C,m,,,,X1,X1,X1,X1,X1,R2,R2,R2,R1,,,,L1,R2,R1,R1,simulated,simulated,2374.098888888889
s196,2,L,m,L,L,R,L,X,X,X,X,X,,,,,,,L,L,R,R,simulated,simulated,2466.0155555555557
s197,3,L,f,L3,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,simulated,simulated,2550.081164021164
s198,2,R,b,,,,,,,R,R,R,X,R,R,R,R,R,X,L,L,R,simulated,simulated,2389.5987493987495
s199,3,C,a,,,,L3,L3,L2,L3,R3,R2,R2,R2,R2,,,,L1,L1,R1,R1,simulated,simulated,2479.645555555556
s200,2,C,a,,,,L,X,L,L,L,L,L,R,R,,,,L,L,R,L,simulated,simulated,2360.2243539793544
s201,2,L,b,L,L,L,L,X,X,R,R,R,,,,,,,L,L,R,R,simulated,simulated,2482.3559090909093
s202,3,R,f,,,,,,,X1,R3,R3,L2,R3,L3,R3,R3,R3,R2,L1,R1,L2,simulated,simulated,2254.018888888889
s203,3,L,m,L2,L2,L2,L3,L3,L2,L3,L3,L3,,,,,,,R1,L1,R2,R1,simulated,simulated,2448.9888888888886
s204,3,C,b,,,,L2,L2,L2,R3,R3,R3,R3,R3,R1,,,,L1,L1,R1,R1,simulated,simulated,2480.192222222222
s205,3,R,m,,,,,,,R3,X1,R3,R3,R2,R2,R2,X1,R2,L1,L1,R1,R1,simulated,simulated,2500.7355555555555
s206,2,R,a,,,,,,,X,X,X,R,R,X,R,R,R,L,L,R,R,simulated,simulated,2510.219492544493
s207,2,L,f,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,simulated,simulated,2542.2136204536205
s208,2,C,m,,,,X,L,L,R,L,R,R,R,R,,,,L,R,X,R,simulated,simulated,2312.3393193843194
s209,3,L,b,L2,L3,L3,X1,X1,X1,X1,X1,L1,,,,,,,L3,L2,R1,R1,simulated,simulated,2480.066666666667
s210,3,R,a,,,,,,,L3,R3,R3,R3,R3,R3,L1,R3,R2,L1,L1,R1,R1,simulated,simulated,2474.1511111111113
s211,2,R,f,,,,,,,X,X,X,X,X,X,X,R,L,L,L,R,R,simulated,simulated,2448.533650793651
s212,3,R,f,,,,,,,L2,X1,X1,X1,X1,L3,R1,R1,R2,L3,L1,R1,R1,simulated,simulated,2456.131111111111
s213,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,simulated,simulated,2506.0888888888894
s214,2,L,b,L,L,L,L,X,X,X,X,R,,,,,,,L,L,R,R,simulated,simulated,2505.498131313131
